"doi","title","journal","last_updated_epoch","publisher_field","paper_field","attention_score"
"10.1007/s00415-007-0558-z","Gender differences in brain reserve","Journal of Neurology","1464764060","Clinical Sciences","Health Sciences",1
"10.1080/07924259.2010.9652327","
              Reproduction and growth of the endangered siphonariid limpet
              Siphonaria compressa
              (Pulmonata: Basommatophora)
            ","Invertebrate Reproduction &amp; Development","1400585568","Zoology","Biochemistry, Genetics and Molecular Biology",3
"10.1097/mib.0b013e31829aad16","Balancing and Communicating the Risks and Benefits of Biologics in Pediatric Inflammatory Bowel Disease.","Inflammatory Bowel Diseases","1410056028","Clinical Sciences","Medicine",2.7
"10.1093/ntr/ntx079","A Daily Diary Study of Joint Quit Attempts by Dual-Smoker Couples: The Role of Received and Provided Social Support","Nicotine & Tobacco Research","1491465240","Public Health And Health Services","Medicine",5.08
"10.1080/10304312.2017.1282152","Dust","Continuum","1485283455","Film, Television And Digital Media",NA,2.7
"10.1111/j.1539-6924.1981.tb01347.x","Is Risk Assessment A Science?","Risk Analysis: An International Journal","1438170387","Multidisciplinary","Health Sciences",1.5
"10.1016/j.chb.2015.05.002","Online social networking increases financial risk-taking","Computers in Human Behavior","1535060844","Information Systems","Physical Sciences",2
"10.1016/j.apacoust.2016.05.006","Prediction of the vibro-acoustic response of a structure-liner-fluid system based on a patch transfer function approach and direct experimental subsystem characterisation","Applied Acoustics","1468916363","Classical Physics","Physical Sciences",0.25
"10.1038/nrg1454","Genetic equity","Nature Reviews Genetics","1368803967","Genetics","Biochemistry, Genetics and Molecular Biology",3
"10.1186/s12884-016-1053-2","What factors influence health professionals to use decision aids for Down syndrome prenatal screening?","BMC Pregnancy and Childbirth","1473877302","Paediatrics And Reproductive Medicine","Medicine",4.45
"10.1016/j.bmcl.2008.07.125","Synthesis and evaluation of a spiro-isobenzofuranone class of histamine H3 receptor inverse agonists","Bioorganic & Medicinal Chemistry Letters","1287014400","Medicinal And Biomolecular Chemistry","Biochemistry, Genetics and Molecular Biology",3
"10.1016/j.ijbiomac.2019.02.096","Microencapsulation of vitamin D using gelatin and cress seed mucilage: Production, characterization and in vivo study","International Journal of Biological Macromolecules","1551897020","Biochemistry And Cell Biology","Biochemistry, Genetics and Molecular Biology",0.75
"10.1007/s11274-012-1087-1","Xanthan production by Xanthomonas campestris using whey permeate medium","World Journal of Microbiology & Biotechnology","1380108892","Applied Microbiology","Biochemistry, Genetics and Molecular Biology",0.25
"10.1038/nsmb.3394","Remodelers tap into nucleosome plasticity","Nature Structural & Molecular Biology","1492109807","Chromatin remodelling","Biochemistry, Genetics and Molecular Biology",2.75
"10.1007/s00253-003-1458-5","Global metabolic response of Escherichia coli to gnd or zwf gene-knockout, based on 13 C-labeling experiments and the measurement of enzyme activities","Applied Microbiology & Biotechnology","1537833600","LifeSciences","Biochemistry, Genetics and Molecular Biology",9
"10.1038/s41598-018-32871-8","Three-Dimensional Retinal Organoids Facilitate the Investigation of Retinal Ganglion Cell Development, Organization and Neurite Outgrowth from Human Pluripotent Stem Cells","Scientific Reports","1550159895",NA,NA,76.076
"10.1080/10408398.2010.537000","Garlic in Clinical Practice: An Evidence-Based Overview","Critical Reviews in Food Science and Nutrition","1534263069","Food Sciences","Physical Sciences",6
"10.1186/2047-783x-18-48","Ambulatory care for HIV-infected patients: differences in outcomes between hospital-based units and private practices: analysis of the RESINA cohort","European Journal of Medical Research","1387272107","Medical And Health Sciences","Medicine",0.5
"10.3181/00379727-36-9304p","Adrenalectomized-Depancreatized Dogs","Experimental Biology and Medicine","157766400","Medical And Health Sciences","Biochemistry, Genetics and Molecular Biology",3
"10.1111/gbb.12294","Voluntary wheel running reduces voluntary consumption of ethanol in mice: identification of candidate genes through striatal gene expression profiling","Genes, Brain & Behavior","1464904505","Biological Sciences","Biochemistry, Genetics and Molecular Biology",0.75
"10.1016/j.jpowsour.2010.08.114","Lithium insertion/extraction mechanism in alloy anodes for lithium-ion batteries","Journal of Power Sources","1540553716","Engineering","Physical Sciences",10
"10.1073/pnas.1407688111","Genomic landscape of CD34+ hematopoietic cells in myelodysplastic syndrome and gene mutation profiles as prognostic markers","Proceedings of the National Academy of Sciences of the United States of America","1401476124","Multidisciplinary","General",0.75
"10.1071/sh17108","Sexual (dys)functioning is related to drive for thinness, not drive for muscularity","Sexual Health","1532251800","Medical And Health Sciences","Medicine",5.1
"10.1007/bf01808324","The theorem of Gleason for nonseparable hilbert spaces","International Journal of Theoretical Physics","1460134124","Elementary Particles, Quantum Field Theory","Mathematics",1
"10.1126/science.345.6197.633-d","Drugs that provide the splice of life","Science","1407436376",NA,"General",1.75
"10.1111/j.1365-2141.1974.tb06657.x","The Organ Distribution of125I-Fibrin in the Generalized Shwartzman Reaction and its Relation to Leucocytes","British Journal of Haematology","189302400","Cardiovascular Medicine And Haematology","Medicine",3
"10.15359/ru.29-2.6","Importación de plaguicidas y peligros en salud en América Central durante el periodo 2005 - 2009","Uniciencia","1503548440",NA,NA,1
"10.1080/00725560.1980.9648890","Stable production versus resilience: A grazing management conflict?","Proceedings of the Annual Congresses of the Grassland Society of Southern Africa","1440576002",NA,NA,0.25
"10.1016/j.ejmech.2017.09.068","Recent advances in discovery and development of natural products as source for anti-Parkinson's disease lead compounds","European Journal of Medicinal Chemistry","1507180863","Medicinal And Biomolecular Chemistry","Physical Sciences",0.5
"10.1115/1.2795946","Mechanical Properties of Tendons: Changes With Sterilization and Preservation","Journal of Biomechanical Engineering","1127174400","Biomedical Engineering","Health Sciences",3
"10.1080/09668136.2012.689495","Books Received","Europe-Asia Studies","1336676883","Policy And Administration","Social Sciences",1
"10.11606/issn.1679-9836.v95ispe3p32-35","Stimulating undergraduate medical students’ scientific careers: the Groningen concept","Revista de Medicina","1472805232",NA,NA,0.5
"10.1017/s0022029904000342","Strong phylogeographic relationships among three goat breeds from the Canary Islands","Journal of Dairy Research","1519898784","Animal Production","Agricultural and Biological Sciences",23
"10.1136/bcr.03.2009.1646","Rare disease: Takotsubo cardiomyopathy following lightning strike","BMJ Case Reports","1409767424",NA,NA,1
"10.2307/292369","Misplaced Passages at the End of Aristotle's Physics","American Journal of Philology","1517775350","Linguistics","Social Sciences",3
"10.1097/01.ogx.0000457530.46877.79","CME PROGRAM EXAM AND ANSWER SHEET","Obstetrical and Gynecological Survey","1418255210","Paediatrics And Reproductive Medicine","Medicine",0.5
"10.11646/zootaxa.4506.1.1","A taxonomic study of Eupolyphaga Chopard, 1929 (Blattodea: Corydiidae: Corydiinae)","ZOOTAXA","1540805340","Zoology","Agricultural and Biological Sciences",5.464
"10.2139/ssrn.2958460","Justicia de Pobres: Una Genealogiia de los Consultorios Juriidicos en Colombia (Justice of the Poor: A Genealogy of Colombian Legal Clinics)","Social Science Research Network (SSRN)","1519190172",NA,NA,1
"10.1186/s40645-016-0103-8","Subduction initiation from a stagnant lid and global overturn: new insights from numerical models with a free surface","Progress in Earth and Planetary Science","1475285663","Atmospheric Sciences",NA,1
"10.1097/00043764-199608000-00011","A Medical-Center-Wide, Multidisciplinary Approach to the Problem of Natural Rubber Latex Allergy","Journal of Occupational & Environmental Medicine","1262304000","Public Health And Health Services","Medicine",3
"10.1557/jmr.2012.151","Crosslinked SPEEK membranes: Mechanical, thermal, and hydrothermal properties","Journal of Materials Research","1523003132","Materials Engineering","Materials Science",0.25
"10.1038/nphoton.2016.252","Scattering compensation by focus scanning holographic aberration probing (F-SHARP)","Nature Photonics","1553863755","Imaging and sensing","Materials Science",11.55
"10.1039/c5bm00573f","Increased cell survival of cells exposed to superparamagnetic iron oxide nanoparticles through biomaterial substrate-induced autophagy","Biomaterials Science","1453979905",NA,NA,0.25
"10.1016/s0006-3495(03)74809-7","FRET Detection of Cellular α4-Integrin Conformational Activation","Biophysical Journal","1490227200","Physical Sciences","Biochemistry, Genetics and Molecular Biology",6
"10.1115/1.4040001","Targeted Versus Continuous Delivery of Volatile Anesthetics During Cholinergic Bronchoconstriction","Journal of Engineering and Science in Medical Diagnostics and Therapy","1524225520",NA,NA,1
"10.1021/acs.jpca.7b08112","Theoretical Study on the Kinetics of Thermal Decomposition of Guaiacol and Catechol","Journal of Physical Chemistry A","1509017466","Theoretical And Computational Chemistry","Physical Sciences",0.25
"10.1111/1556-4029.12422","Observational Case Series: An Algorithm Incorporating Multidetector Computed Tomography in the Medicolegal Investigation of Human Remains after a Natural Disaster","Journal of Forensic Sciences (Blackwell Publishing Limited)","1396438988","Other Chemical Sciences","Biochemistry, Genetics and Molecular Biology",1
"10.3389/fpls.2019.00236","Detection and Identification of Genome Editing in Plants: Challenges and Opportunities","Frontiers in Plant Science","1554459883",NA,NA,15.1
"10.1105/tpc.17.00774","Thrown for a Loop: How RNase H1 and DNA Gyrases Limit R-Loops and Maintain Genome Stability in Chloroplasts","Plant Cell","1507064837","Biochemistry And Cell Biology","Biochemistry, Genetics and Molecular Biology",0.5
"10.1038/s42004-018-0073-4","Light actuated swarming and breathing-like motion of graphene oxide colloidal particles","Communications Chemistry","1540646743",NA,NA,2.1
"10.1177/1753495x18804744","Validation of content of clinical cases in obstetric medicine for a shared web-based educational tool","Obstetric Medicine (1753-495X)","1552326373",NA,NA,3
"10.1007/s00415-004-0619-5","Hepatic injury, liver monitoring and the beta-interferons for multiple sclerosis","Journal of Neurology","1481702097","Medicine & Public Health","Health Sciences",7.25
"10.1021/ja01109a018","The Heat of Formation of Beryllium Oxide
                    1","Journal of the American Chemical Society","1355479247","Chemical Sciences","Biochemistry, Genetics and Molecular Biology",3
"10.1080/00963402.2016.1216515","Fear factor: The unseen perils of the Ebola outbreak","Bulletin of the Atomic Scientists","1477857792",NA,"Social Sciences",8.05
"10.1038/srep21222","BDNF-induced LTP is associated with rapid Arc/Arg3.1-dependent enhancement in adult hippocampal neurogenesis","Scientific Reports","1455890823",NA,NA,1
"10.1177/0959353502012002002","Crossing the Divide: Feminist Perspectives on Gender and Music","Feminism & Psychology","1477622573","Other Studies In Human Society","Psychology",1.85
"10.1016/j.cell.2007.11.009","The ATPase SpoIIIE Transports DNA across Fused Septal Membranes during Sporulation in Bacillus subtilis","Cell","1200009600","Biological Sciences","Biochemistry, Genetics and Molecular Biology",1
"10.1007/s11695-011-0450-x","Influence of Activity Levels and Energy Intake on Percent Excess Weight Loss After Roux-en-Y Gastric Bypass","Obesity Surgery","1311283993","Clinical Sciences","Medicine",0.5
"10.1017/s1049023x15005415","Prevalence of Risk Factors for Coronary Artery Disease in Pennsylvania (USA) Firefighters","Prehospital and disaster medicine","1454611891","Medical And Health Sciences","Medicine",2.25
"10.1016/j.micinf.2003.08.004","Phenotypic changes in CD8+ peripheral blood lymphocytes in cats infected with feline immunodeficiency virus","Microbes & Infection","1479772800","Microbiology","Health Sciences",9
"10.1016/0003-2697(76)90527-3","A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding","Analytical Biochemistry","1534809600","Analytical Chemistry","Biochemistry, Genetics and Molecular Biology",39.714
"10.1016/s0003-2670(01)85147-3","Arsenazo III as a spectrophotometric reagent for zinc and cadmium","Analytica Chimica Acta","738892800","Analytical Chemistry","Biochemistry, Genetics and Molecular Biology",3
"10.1016/j.eng.2017.11.002","Damping Identification of Bridges Under Nonstationary Ambient Vibration","Engineering","1534038065",NA,NA,0.25
