,Event,Perf.,W,N,Athlete(s),Nat.,Date,Meeting,Location,Ctry.,R,V,P,duration,gender
0,100 m,9.58,+0.9,,Usain Bolt,JAM,16 Aug 2009,World Championships,Berlin,GER,[5],​,P,9000.0,male
1,200 m,19.19,−0.3,,Usain Bolt,JAM,20 Aug 2009,World Championships,Berlin,GER,[5],​,P,19000.0,male
2,400 m,43.03,,,Wayde van Niekerk,RSA,14 Aug 2016,Olympic Games,Rio de Janeiro,BRA,[6],​,P,43000.0,male
3,800 m,1:40.91,,,David Rudisha,KEN,9 Aug 2012,Olympic Games,London,GBR,[7],​,P,100000.0,male
4,1000 m,2:11.96,,,Noah Ngeny,KEN,5 Sep 1999,Rieti Meeting,Rieti,ITA,,​,P,131000.0,male
5,1500 m,3:26.00,,,Hicham El Guerrouj,MAR,14 Jul 1998,Golden Gala,Rome,ITA,,​,P,206000.0,male
6,Mile,3:43.13,,,Hicham El Guerrouj,MAR,7 Jul 1999,Golden Gala,Rome,ITA,,​,P,223000.0,male
7,2000 m,4:44.79,,,Hicham El Guerrouj,MAR,7 Sep 1999,ISTAF,Berlin,GER,,​,,284000.0,male
8,3000 m,7:20.67,,,Daniel Komen,KEN,1 Sep 1996,Rieti Meeting,Rieti,ITA,,​,P,440000.0,male
9,5000 m (track),12:37.35,,,Kenenisa Bekele,ETH,31 May 2004,Fanny Blankers-Koen Games,Hengelo,NED,,​,P,757000.0,male
10,5 km (road),13:29.00,,,Julien Wanders,SUI,17 Feb 2019,5km Herculis,Monaco,MON,[8],​,,809000.0,male
11,5 km (road),13:00.00,,[a],Sammy Kipketer,KEN,26 Mar 2000,Carlsbad 5000,Carlsbad,USA,[9],,,780000.0,male
12,"10,000 m (track)",26:17.53,,,Kenenisa Bekele,ETH,26 Aug 2005,Memorial Van Damme,Brussels,BEL,,​,P,1577000.0,male
13,10 km (road),26:44.00,,,Leonard Patrick Komon,KEN,26 Sep 2010,Singelloop,Utrecht,NED,[10],​,,1604000.0,male
14,10 km (road),26:41.00,,a,Jacob Kiplimo,UGA,31 Dec 2018,San Silvestre Vallecana,Madrid,ESP,[11],​,,1601000.0,male
15,"20,000 m (track)",56:25.98,,+,Haile Gebrselassie,ETH,27 Jun 2007,Golden Spike Ostrava,Ostrava,CZE,[12],,,3385000.0,male
16,Half marathon,58:18.00,,,Abraham Kiptum,KEN,28 Oct 2018,Valencia Half Marathon,Valencia,ESP,[13],​,P,3498000.0,male
18,"25,000 m (track)",1:12:25.40,,+,Moses Mosop,KEN,3 Jun 2011,Prefontaine Classic,Eugene,USA,[15],,,4345000.0,male
19,"30,000 m (track)",1:26:47.40,,,Moses Mosop,KEN,3 Jun 2011,Prefontaine Classic,Eugene,USA,[15][16],,,5207000.0,male
20,Marathon[b],2:01:39,,,Eliud Kipchoge,KEN,16 Sep 2018,Berlin Marathon,Berlin,GER,[17],,P,7299000.0,male
21,Marathon[b],2:00:25,,[c],Eliud Kipchoge,KEN,6 May 2017,Autodromo Nazionale Monza,Monza,ITA,[18],[1],,7225000.0,male
22,100 km (road),6:09:14.00,,,Nao Kazami,JPN,24 Jun 2018,Lake Saroma Ultramarathon,Yūbetsu,JPN,[19],,,22154000.0,male
23,110 m hurdles,12.80,+0.3,,Aries Merritt,USA,7 Sep 2012,Memorial Van Damme,Brussels,BEL,[20],​,P,12000.0,male
24,400 m hurdles,46.78,,,Kevin Young,USA,6 Aug 1992,Olympic Games,Barcelona,ESP,,​,P,46000.0,male
25,3000 m steeplechase,7:53.63,,,Saif Saaeed Shaheen,QAT,3 Sep 2004,Memorial Van Damme,Brussels,BEL,,​,P,473000.0,male
26,3000 m steeplechase,7:53.17,,X,Brahim Boulami,MAR,16 Aug 2002,Weltklasse Zürich,Zürich,SUI,,,,473000.0,male
36,"10,000 m walk (track)",37:53.09,,,Paquillo Fernández,ESP,27 Jul 2008,Spanish Championships,Santa Cruz,ESP,,,,2273000.0,male
37,10 km walk (road),37:11.00,,,Roman Rasskazov,RUS,28 May 2000,,Saransk,RUS,[25],,,2231000.0,male
38,"20,000 m walk (track)",1:17:25.60,,[f],Bernardo Segura,MEX,7 May 1994,,Bergen,NOR,,,,4645000.0,male
39,20 km walk (road),1:16:36.00,,,Yusuke Suzuki,JPN,15 Mar 2015,Asian Race Walking Championships,Nomi,JPN,[26],,P,4596000.0,male
41,"30,000 m walk (track)",2:01:44.10,,,Maurizio Damilano,ITA,3 Oct 1992,,Cuneo,ITA,,,,7304000.0,male
42,"50,000 m walk (track)",3:35:27.20,,,Yohann Diniz,FRA,12 Mar 2011,,Reims,FRA,[27],,,12927000.0,male
43,50 km walk (road),3:32:33.00,,,Yohann Diniz,FRA,15 Aug 2014,European Championships,Zürich,SUI,[28],​,P,12753000.0,male
44,4×100 m relay,36.84,,,Nesta CarterMichael FraterYohan BlakeUsain Bolt,JAM,11 Aug 2012,Olympic Games,London,GBR,[29],​,P,36000.0,male
