id,age_lower,age_upper
5904,18,24
5905,18,24
5909,35,39
63975,14,14
5924,18,24
5934,18,24
5939,40,44
5966,30,34
5967,0,99
5974,25,29
63976,44,44
5982,35,39
5989,18,24
5994,19,24
5996,17,18
5997,30,34
63978,53,53
63979,20,20
6013,45,49
6014,19,24
63980,47,47
6023,0,99
6033,30,34
6038,25,29
6051,25,29
6052,15,16
6055,25,29
6060,18,24
6066,18,24
6068,30,34
6071,18,24
6073,13,14
6078,30,34
6079,25,29
6082,50,54
6084,0,99
6090,30,34
6092,45,49
6106,25,29
6109,45,49
6111,0,99
6112,0,99
6119,70,74
63981,19,19
6127,30,34
6134,30,34
6137,19,24
63982,20,20
6147,17,18
6148,13,14
6149,18,24
6151,18,24
6152,0,99
6153,18,24
6154,13,14
6156,40,44
6165,50,54
6169,13,14
6176,19,24
6179,25,29
6185,40,44
6187,55,59
6188,55,59
6200,60,64
6202,60,64
6210,55,59
6229,30,34
6231,50,54
6232,55,59
6238,50,54
6242,18,24
6243,17,18
6244,17,18
6250,30,34
63984,40,40
6252,45,49
6268,50,54
6269,0,99
6272,0,99
6286,30,34
6289,25,29
6290,17,18
6292,25,29
6295,35,39
6300,18,24
6301,18,24
6302,25,29
6304,25,29
6312,30,34
6328,17,18
63985,17,17
6330,25,29
63986,31,31
6339,30,34
6341,45,49
6342,15,16
6348,18,24
6351,35,39
6357,25,29
6365,30,34
63989,30,30
6377,30,34
6380,15,16
6389,19,24
6391,0,99
6392,15,16
6398,15,16
6410,25,29
63991,32,32
63992,26,26
6425,18,24
6431,0,99
6433,15,16
63993,34,34
6438,17,18
6447,55,59
6468,18,24
6507,50,54
6512,19,24
6514,15,16
6516,35,39
6523,25,29
6535,25,29
6536,19,24
6541,25,29
6543,25,29
6549,25,29
6551,25,29
6560,25,29
63995,29,29
6566,17,18
6569,55,59
63996,26,26
6578,40,44
6583,18,24
6584,19,24
6585,35,39
6588,35,39
63997,37,37
6595,18,24
63998,18,18
6599,30,34
63999,45,45
6608,35,39
6610,30,34
64000,32,32
6620,17,18
6624,0,99
64001,16,16
6631,30,34
6644,18,24
6673,40,44
6675,40,44
6677,40,44
6678,0,99
6681,45,49
6685,45,49
6691,35,39
6694,35,39
64002,32,32
6704,35,39
6709,19,24
6718,0,99
6719,55,59
64004,30,30
6734,0,99
6736,0,99
6739,35,39
6740,19,24
6742,0,99
6753,25,29
6754,50,54
6755,0,99
6756,40,44
6758,30,34
6764,25,29
6771,0,99
6774,13,14
6775,0,99
6781,0,99
6784,0,99
6790,55,59
6801,15,16
64005,49,49
6804,18,24
6811,18,24
6823,40,44
64006,42,42
6842,0,99
6843,25,29
64007,70,70
6849,45,49
6855,0,99
6858,19,24
6868,35,39
6870,40,44
6875,0,99
6880,55,59
6888,15,16
6891,30,34
6892,60,64
6897,50,54
6899,25,29
6909,18,24
6914,18,24
6916,45,49
6928,25,29
6930,30,34
6945,0,99
6948,55,59
6949,25,29
6951,45,49
6955,40,44
6957,45,49
6963,25,29
6981,35,39
64009,49,49
6999,25,29
7002,40,44
64010,47,47
7015,50,54
7034,35,39
7036,40,44
7046,25,29
7063,35,39
7085,35,39
64012,16,16
7093,25,29
7113,35,39
7114,55,59
7121,50,54
7125,45,49
7127,30,34
7130,25,29
7131,65,69
7142,50,54
7147,50,54
7149,40,44
7151,50,54
7158,30,34
7167,35,39
7168,45,49
7169,35,39
7174,40,44
7178,15,16
7188,35,39
7196,25,29
64013,30,30
7200,0,99
64014,37,37
7225,13,14
7230,45,49
64017,13,13
7246,35,39
7247,0,99
64019,35,35
7263,35,39
64020,69,69
7274,17,18
7277,45,49
7280,0,99
7282,35,39
7285,60,64
7292,60,64
7298,45,49
64022,57,57
7308,50,54
64023,16,16
7310,19,24
7312,30,34
7315,15,16
64024,36,36
7319,13,14
7320,45,49
7325,18,24
7326,18,24
7334,19,24
7339,15,16
7348,25,29
7351,13,14
7357,40,44
7374,13,14
7380,0,99
7388,0,99
7400,18,24
7404,30,34
7416,0,99
64028,37,37
7425,55,59
7426,25,29
7430,19,24
64029,69,69
7445,25,29
7447,30,34
64030,12,12
7455,30,34
64031,38,38
7463,40,44
64032,40,40
64034,57,57
64035,58,58
64036,45,45
7486,13,14
7492,50,54
7495,13,14
7505,0,99
7514,25,29
7515,65,69
7518,25,29
7524,18,24
7547,30,34
7549,17,18
7551,19,24
7566,25,29
7568,25,29
7569,0,99
7570,15,16
7579,55,59
7585,18,24
7595,60,64
7596,50,54
7604,50,54
7606,17,18
7622,13,14
7624,13,14
7626,35,39
7631,25,29
7639,19,24
7645,13,14
7652,60,64
7664,55,59
7683,50,54
7685,40,44
7687,65,69
7693,18,24
7695,50,54
7697,18,24
64039,35,35
64040,43,43
7707,25,29
7708,30,34
7710,25,29
7712,25,29
7714,30,34
7717,15,16
64042,19,19
7725,25,29
7730,13,14
7733,50,54
7735,25,29
7737,13,14
7747,17,18
64043,16,16
7751,19,24
7754,17,18
7755,15,16
7761,0,99
7763,30,34
7764,17,18
7766,18,24
7769,18,24
7771,15,16
7772,17,18
7774,18,24
7775,15,16
7777,30,34
7786,13,14
7789,13,14
7792,13,14
7801,18,24
7804,55,59
7805,55,59
7809,55,59
7815,55,59
7816,65,69
64044,55,55
64045,22,22
7828,50,54
64046,28,28
64047,46,46
64048,27,27
7854,0,99
7856,65,69
7860,0,99
7901,0,99
7902,35,39
7909,55,59
7911,0,99
7912,25,29
64050,18,18
7915,18,24
7918,25,29
7923,13,14
7924,13,14
7930,30,34
7944,25,29
7947,18,24
7951,60,64
7952,40,44
7960,50,54
7961,0,99
7962,15,16
7963,17,18
7967,25,29
7973,25,29
7979,25,29
7982,15,16
7994,25,29
8002,15,16
8004,0,99
8008,35,39
8009,45,49
8019,18,24
8026,45,49
8029,50,54
8035,17,18
8041,18,24
8045,15,16
8046,0,99
8048,17,18
8052,15,16
8053,30,34
8059,18,24
8060,45,49
8069,15,16
8080,18,24
8081,25,29
8084,18,24
8094,40,44
8095,25,29
8096,18,24
8102,45,49
8104,30,34
8108,25,29
8111,35,39
8117,35,39
8121,30,34
8123,13,14
8126,18,24
8130,15,16
8132,30,34
8133,25,29
8138,0,99
64053,24,24
8141,40,44
8143,18,24
8152,35,39
8166,18,24
8168,0,99
8179,30,34
8188,35,39
8193,60,64
8199,18,24
8200,40,44
8205,0,99
64054,16,16
8216,50,54
8228,35,39
64055,18,18
8244,0,99
64058,35,35
64059,13,13
8259,30,34
8264,0,99
8267,55,59
8268,30,34
8272,50,54
8287,60,64
8290,35,39
8299,55,59
8304,55,59
8313,45,49
8319,50,54
8326,40,44
8332,30,34
8334,18,24
8336,70,74
8341,55,59
8345,55,59
8352,45,49
8357,45,49
8358,60,64
8364,18,24
8385,18,24
8390,40,44
8411,30,34
8412,60,64
8413,30,34
8423,30,34
8428,25,29
8432,17,18
8436,25,29
8442,0,99
8446,60,64
8450,50,54
8456,55,59
8467,70,74
8471,60,64
8480,50,54
64061,29,29
8527,30,34
8537,55,59
8544,18,24
8547,55,59
8559,35,39
8562,60,64
8588,45,49
8592,13,14
8604,25,29
8606,30,34
8609,40,44
8611,15,16
8617,55,59
8618,35,39
8628,25,29
8648,0,99
8652,25,29
8653,30,34
8665,40,44
8670,15,16
64063,51,51
8696,0,99
8697,0,99
8710,25,29
8723,40,44
8761,40,44
8765,30,34
64064,19,19
8775,30,34
64065,44,44
8798,50,54
8836,60,64
8838,40,44
8839,55,59
8850,35,39
